Fiscal Year,Female NCMs Promoted,Male NCMs Promoted,Total NCM Promotions
1998,147,1861,2008
1999,146,1727,1873
2000,250,2937,3187
2001,484,4085,4569
2002,476,3743,4219
2003,426,3813,4239
2004,440,3722,4162
2005,485,3694,4179
2006,598,3994,4592
2007,660,4541,5201
2008,578,4507,5085
2009,635,4845,5480
2010,696,4380,5076
2011,662,3983,4645
2012,631,3831,4462
2013,638,4015,4653
2014,669,3576,4245
2015,571,3777,4348
2016,627,3655,4282
2017,620,3857,4477
2018,669,3950,4619
2019,778,4238,5016
2020,733,3993,4726